track_name,valence,energy,danceability,acousticness,instrumentalness,user_preference
"Piano Concerto No. 21 in C Major, K. 467 (Remastered): I. Allegro maestoso",0.304,0.1369999999999999,0.344,0.984,0.899,1.8
"Piano Concerto No. 21 in C Major, K. 467 (Remastered): II. Andante ""Theme from Elvira Madigan""",0.0735,0.0289999999999999,0.218,0.985,0.922,0.92
"Piano Concerto No. 21 in C Major, K. 467 (Remastered): III. Allegro vivace assai",0.521,0.174,0.5,0.989,0.921,2.3
"Piano Concerto No. 24 in C Minor, K. 491 (Remastered): I. Allegro",0.1639999999999999,0.138,0.291,0.98,0.877,1.52
"Piano Concerto No. 24 in C Minor, K. 491 (Remastered): II. Larghetto",0.108,0.0242,0.231,0.992,0.83,1.03
"Piano Concerto No. 24 in C Minor, K. 491 (Remastered): III. Allegretto",0.2,0.147,0.38,0.988,0.8420000000000001,1.73
"Piano Quartet No. 1 in G Minor, K. 478: I. Allegro",0.265,0.11,0.374,0.974,0.83,1.95
"Piano Quartet No. 1 in G Minor, K. 478: II. Andante",0.146,0.0297,0.286,0.968,0.437,1.72
"Piano Quartet No. 1 in G Minor, K. 478: III. Rondo. Allegro",0.364,0.111,0.4039999999999999,0.983,0.908,1.55
"Piano Quartet No. 2 in E-Flat Major, K. 493: I. Allegro",0.321,0.0783,0.304,0.985,0.871,1.93
"Piano Quartet No. 2 in E-Flat Major, K. 493: II. Larghetto",0.1,0.023,0.29,0.982,0.7490000000000001,1.2
Your Tempo - Tennyson Remix,0.524,0.552,0.7509999999999999,0.4639999999999999,0.015,6.92
MÃ¡s Que Tu Amigo,0.935,0.759,0.7709999999999999,0.295,0.000263,8.32
Si No Te Hubieras Ido,0.466,0.652,0.736,0.217,0.000363,7.29
Viva El Amor,0.895,0.648,0.787,0.736,9.43e-05,7.05
Como Fui A Enamorarme De Ti,0.345,0.6759999999999999,0.53,0.0186,1.02e-06,7.25
Inventame,0.216,0.6579999999999999,0.425,0.2,1.98e-06,5.77
Mi Eterno Amor Secreto,0.306,0.557,0.476,0.0636,7.329999999999999e-05,6.32
"Recuerdos, Tristeza Y Soledad",0.674,0.573,0.727,0.17,1.44e-06,7.19
Â¿A DÃ³nde Vamos A Parar?,0.181,0.528,0.365,0.475,0.00778,4.97
El Celoso,0.882,0.605,0.835,0.182,0.000375,8.22
Y Ahora Te Vas,0.971,0.797,0.768,0.263,1.4300000000000002e-05,8.15
ExtraÃ±Ã¡ndote,0.301,0.515,0.591,0.437,0.000553,6.04
Mi Fantasia,0.96,0.758,0.759,0.4629999999999999,1.3699999999999998e-05,8.44
Nada Que Me Recuerde A Ti,0.887,0.737,0.6729999999999999,0.2189999999999999,2.43e-05,8.35
The Jungle,0.131,0.8370000000000001,0.588,0.0834,0.0001149999999999,6.83
"Symphony No. 1 in C Major, Op. 21: IV. Finale. Adagio - Allegro molto e vivace",0.5,0.2789999999999999,0.4639999999999999,0.871,0.86,2.75
"Symphony No. 2 in D Major, Op. 36: I. Adagio molto - Allegro con brio",0.184,0.178,0.309,0.8079999999999999,0.8140000000000001,1.98
"Symphony No. 2 in D Major, Op. 36: III. Scherzo - Allegro",0.665,0.104,0.511,0.83,0.773,3.8
Running This Like a Relay,0.165,0.457,0.738,0.294,4.67e-05,5.79
Therapy - Super8 & Tab Remix,0.175,0.779,0.415,0.000459,0.0036899999999999,6.47
Just Say When,0.773,0.838,0.6859999999999999,0.0103,4.42e-05,8.67
"Egmont Overture, Op. 84 - Remastered",0.0863,0.125,0.286,0.91,0.758,1.3
"Coriolan Overture, Op. 62 - Remastered",0.187,0.131,0.3289999999999999,0.747,0.72,2.04
"Overture ""King Stephen"", Op. 117 - Remastered",0.293,0.265,0.292,0.8959999999999999,0.902,2.13
"Leonore Overture No. 2, Op. 72a - Remastered",0.0735,0.0767,0.289,0.878,0.7020000000000001,1.72
"Leonore Overture No. 1, Op. 138 - Remastered",0.0859,0.111,0.2739999999999999,0.865,0.516,2.56
"Fidelio, Op. 72: Overture - Remastered",0.107,0.238,0.178,0.88,0.7879999999999999,1.79
Yeah Yeah,0.411,0.523,0.747,0.152,5.99e-05,7.15
Elefante,0.0631,0.828,0.7929999999999999,0.0719,0.0279,7.28
Miracle Fruit,0.93,0.593,0.6890000000000001,0.39,0.4579999999999999,6.38
Deep Water - The Floozies Remix,0.341,0.627,0.8079999999999999,0.172,0.00247,7.09
Brooklyn In The Summer - Steve Smart Remix,0.8079999999999999,0.885,0.7609999999999999,0.0467,0.000486,8.4
Brooklyn In The Summer - Tobtok Remix,0.7909999999999999,0.634,0.8,0.00245,1.97e-05,8.47
Brooklyn In The Summer - Stoop Mix By Eliot Bohr,0.294,0.599,0.852,0.0127,1.54e-06,7.72
Them Boots,0.722,0.6940000000000001,0.6940000000000001,0.0132,0.000793,8.49
Cheetah Tongue - Benson Remix,0.331,0.794,0.83,0.0252,0.000123,7.65
Brooklyn In The Summer - Nathan Jain Midnight Remix,0.387,0.662,0.76,0.00106,0.00144,7.7
Song for a Friend,0.648,0.3879999999999999,0.524,0.763,0.0478,5.5
I Know How To Speak - Acoustic Version,0.389,0.218,0.473,0.888,7.43e-05,4.53
The Heartbreak,0.243,0.485,0.578,0.4,0.152,5.56
"City Life, Pt. 2",0.6459999999999999,0.198,0.413,0.907,0.92,2.61
Passion - Highsociety Remix,0.335,0.947,0.534,0.00315,0.0018,7.21
Ride (feat. Felix Snow),0.379,0.511,0.7390000000000001,0.479,0.00504,6.02
I Was in a Cult,0.752,0.674,0.61,0.0511,8.13e-05,8.2
Jazz Cafe,0.521,0.361,0.725,0.828,0.903,3.05
Star Smiles,0.344,0.498,0.118,0.938,0.889,2.15
The Smile,0.615,0.645,0.66,0.856,0.455,5.56
Kerela,0.597,0.6609999999999999,0.812,0.001,0.948,6.15
Dill Pickles,0.851,0.55,0.496,0.302,0.8109999999999999,5.54
On My Own (feat. Louie Loc & Jon Z),0.46,0.574,0.931,0.0202,9.19e-06,7.51
Open Wide,0.0956,0.4039999999999999,0.612,0.44,0.0015,5.47
No Fumble,0.255,0.632,0.7859999999999999,0.0436,0.000482,7.37
Play the Goddamned Part,0.392,0.722,0.59,0.154,0.812,5.34
My House,0.368,0.696,0.635,0.00829,1.76e-06,7.56
Never Worried,0.466,0.764,0.77,0.307,7.2000000000000005e-06,7.4
